Layer 11 - BN_justattention	79.739	75.958	14.726	68.629	79.622	77.605	77.507	84.124	81.23	80.207	65.198	83.471	76.63	9.521	8.83
Layer 10 - BN_justattention	79.758	75.996	14.053	68.385	79.739	77.809	77.77	84.349	81.181	80.294	66.017	83.715	76.649	9.444	8.859
Layer 09 - BN_justattention	80.099	76.406	14.989	69.194	79.856	77.838	77.887	84.563	81.493	80.596	65.744	83.939	77.293	9.677	9.073
Layer 08 - BN_justattention	79.583	75.958	15.271	68.336	79.797	77.419	77.799	84.144	80.86	80.285	65.101	83.637	76.952	9.327	8.81
Layer 07 - BN_justattention	80.06	76.435	16.256	69.262	80.109	77.673	77.858	84.68	81.707	80.294	65.617	84.046	76.961	9.775	8.8
Layer 06 - BN_justattention	79.437	76.035	14.034	68.911	79.671	77.302	77.712	84.251	81.279	80.109	64.526	83.92	76.26	9.405	8.576
Layer 05 - BN_justattention	79.875	75.987	16.363	69.009	79.943	77.244	77.682	84.436	81.279	80.031	65.296	83.822	76.649	9.492	8.752
Layer 04 - BN_justattention	79.593	76.113	17.094	68.619	79.758	77.497	77.858	84.417	81.249	79.934	64.516	83.822	76.737	9.658	8.849
Layer 03 - BN_justattention	80.021	76.533	14.492	69.145	79.914	77.673	78.004	84.651	81.756	80.275	65.764	83.968	77.049	9.366	9.093
Layer 02 - BN_justattention	79.924	76.24	15.106	69.311	80.021	77.829	78.063	84.69	81.707	80.363	65.5	84.037	77.263	9.268	8.664
Layer 01 - BN_justattention	79.671	76.279	13.975	69.175	79.778	77.741	77.877	84.397	81.815	80.333	65.081	84.076	77.039	9.21	8.761
Layer 00 - BN_justattention	75.071	72.478	12.182	63.892	75.363	74.174	74.213	81.707	80.363	74.34	59.858	80.723	72.576	10.632	10.282
